benchmark,n_runs,cycles_sum,cycles_mean,cycles_std,cycles_p95,cycles_p99,instructions_sum,instructions_mean,instructions_std,l1_loads_sum,l1_loads_mean,l1_misses_sum,l1_misses_mean,l1_miss_rate_pct,branch_misses_sum,branch_misses_mean,ipc
iaes_medium_sigmoid_int8,1000,13141005,13141.0,7732.8,19060,19202,11070693,11070.7,8536.2,4705244,4705.2,26608,26.6,0.57,11553,11.6,0.8425
iaes_small_relu_int8,1000,12015030,12015.0,7315.0,17310,17434,8081844,8081.8,6390.0,3690212,3690.2,22472,22.5,0.61,8936,8.9,0.6726
iaes_small_sigmoid_int8,1000,12142990,12143.0,6896.6,17126,18739,8138972,8139.0,6233.0,4064486,4064.5,36361,36.4,0.89,11415,11.4,0.6703
mlp_large_relu_int8,1000,16826738,16826.7,9426.1,23323,29542,15783577,15783.6,12308.1,5855077,5855.1,54201,54.2,0.93,16208,16.2,0.9380
mlp_large_sigmoid_int8,1000,13667534,13667.5,11569.9,23355,23459,13629735,13629.7,13387.7,4094011,4094.0,35645,35.6,0.87,9908,9.9,0.9972
mlp_medium_relu_int8,1000,11528077,11528.1,9525.4,19214,19349,8059933,8059.9,9125.9,3750270,3750.3,21731,21.7,0.58,12456,12.5,0.6992
mlp_medium_sigmoid_int8,1000,11913570,11913.6,9121.1,19287,19426,9662627,9662.6,8841.3,3252886,3252.9,30425,30.4,0.94,13277,13.3,0.8111
mlp_small_relu_int8,1000,12417825,12417.8,6906.1,17139,19009,9582794,9582.8,6427.3,3708146,3708.1,33115,33.1,0.89,11725,11.7,0.7717
mlp_small_sigmoid_int8,1000,11545383,11545.4,7196.4,16946,17149,7836322,7836.3,6616.2,3278519,3278.5,14607,14.6,0.45,11892,11.9,0.6787
ae_large_f32,1000,108627728,108627.7,84795.6,179056,184299,244616435,244616.4,192597.7,76210716,76210.7,328647,328.6,0.43,241640,241.6,2.2519
ae_medium_f32,1000,80137023,80137.0,61523.1,130267,135549,164200599,164200.6,136179.5,43276794,43276.8,248374,248.4,0.57,61318,61.3,2.0490
ae_small_f32,1000,52801338,52801.3,44142.2,90002,97817,103518244,103518.2,86671.9,31009199,31009.2,196311,196.3,0.63,84005,84.0,1.9605
iaes_large_relu_f32,1000,128478352,128478.4,103330.0,215924,241301,301522382,301522.4,263147.8,92053786,92053.8,289383,289.4,0.31,335568,335.6,2.3469
iaes_large_sigmoid_f32,1000,151431237,151431.2,109893.2,238073,244706,342612614,342612.6,268358.7,98626394,98626.4,342277,342.3,0.35,329450,329.4,2.2625
iaes_medium_relu_f32,1000,46083271,46083.3,28489.5,66625,73007,90405298,90405.3,64620.3,25967254,25967.3,143128,143.1,0.55,67574,67.6,1.9618
iaes_medium_sigmoid_f32,1000,48714180,48714.2,35579.6,76692,82307,95527017,95527.0,69422.7,27463028,27463.0,164116,164.1,0.60,82119,82.1,1.9610
iaes_small_relu_f32,1000,17033233,17033.2,10490.5,24529,31481,18367894,18367.9,16144.1,6830435,6830.4,51722,51.7,0.76,14209,14.2,1.0784
iaes_small_sigmoid_f32,1000,19660048,19660.0,13009.4,29611,30244,20510203,20510.2,17393.6,6084189,6084.2,84285,84.3,1.39,14500,14.5,1.0432
mlp_large_relu_f32,1000,130566072,130566.1,101797.6,211422,222688,310231733,310231.7,258291.4,90474343,90474.3,267999,268.0,0.30,336250,336.2,2.3761
mlp_large_sigmoid_f32,1000,147320631,147320.6,106576.3,229679,239369,338816566,338816.6,266283.6,96895072,96895.1,359496,359.5,0.37,376139,376.1,2.2999
mlp_medium_relu_f32,1000,46529023,46529.0,26007.2,62885,70991,93655174,93655.2,61721.4,26683615,26683.6,156380,156.4,0.59,52197,52.2,2.0128
mlp_medium_sigmoid_f32,1000,49693176,49693.2,34309.8,74981,83647,93997074,93997.1,68351.8,27581515,27581.5,161463,161.5,0.59,145425,145.4,1.8915
mlp_small_relu_f32,1000,15683983,15684.0,11495.1,24219,24479,17596881,17596.9,15514.3,5980639,5980.6,85726,85.7,1.43,8625,8.6,1.1220
